"Titulo","Noticiero","Descripcion","Fecha"
"El acoso escolar no se detiene solo porque la escuela está de vacaciones","Eagle-Tribune","Antes, los niños podían escapar temporalmente de sus acosadores los fines de semana y las vacaciones escolares. Pero con las redes sociales,...","2024-11-20"
"Familia presenta demanda contra distrito escolar de Texas; alega intimidación, acoso y agresión sexual por ex compañeros de estudiante","Telemundo Laredo","CRAWFORD, Texas (Telemundo Central Texas) - La familia de un ex estudiante en el Distrito Escolar Independiente de Crawford presentó una...","2024-11-21"
"El acoso escolar no se detiene solo porque la escuela está de vacaciones","Yahoo Finanzas","Los consejeros de secundaria de Learn4Life ayudan a los estudiantes a lidiar con el acoso cibernético. LOS ANGELES, November 20,...","2024-11-21"
"Alzan la voz contra el acoso escolar tras muerte de estudiante hispano en Santa Clara","Telemundo Area de la Bahia","La familia de José Emiliano Zamora aseguró que el joven, de 14 años, se quitó la vida tras ser víctima de intimidación.","2024-11-21"
"Teens and Cyberbullying 2022","Pew Research Center","Nearly half of U.S. teens have been bullied or harassed online, with physical appearance being seen as a relatively common reason why.","2024-11-21"
"Unos enigmas en la nebulosa de Orión podrían ser víctimas de acoso estelar","The New York Times","Usando el telescopio espacial James Webb, los astrónomos han empezado a revelar la nebulosa de Orión con glorioso detalle, mostrando las...","2024-11-21"
"Se celebra 'la semana contra el acoso escolar' en todo el país: señales que deben detectar los padres","KESQ","Es la semana contra el acoso escolar en todo el país, hoy hablamos con una consejera sobre las señales que los padres deben vigilar.","2024-11-21"
"Acoso contra José Rubén Zamora va más allá de sus más de 800 días encarcelado","CNN en Español","El Comité para la Protección de los Periodistas calificó el fallo para que José Rubén Zamora vuelva a prisión, como un nuevo golpe a la...","2024-11-21"
"Víctima o testigo: así puedes denunciar un caso de acoso sexual en el transporte público","Infobae","Si una persona denuncia un caso de acoso, el conductor debe activar un protocolo inmediato dependiendo del sistema de transporte.","2024-11-21"
"Poder Judicial favorece aplicar medidas preventivas contra el acoso laboral y sexual","Acento","Esta iniciativa busca proporcionar un entorno social y laboral saludable, libre de hostigamiento, discriminación y acoso sexual.","2024-11-22"
"Caso Ana Inés Martínez: condenan por acoso sexual a Canal 10 y desestiman acoso laboral","Montevideo Portal","La Justicia no dio lugar a la demanda presentada por la periodista Ana Inés Martínez contra Canal 10 y, en particular, contra el gerente del noticiero Nelson Fernández por acoso laboral. No obstante, sí dio lugar a la demanda por acoso sexual que presentó la comunicadora contra el exgerente general del medio de comunicación Alejandro Cattaneo y condenó al canal a pagar una indemnización de miles de dólares. Según supo Montevideo Portal, el juez actuante, Luis Fourment, determinó que no hubo acoso laboral por parte de Fernández, aunque sí falló a favor de la periodista por la denuncia de acoso sexual que presentó contra el exgerente general del canal. El Poder Judicial determinó, de esta forma, que no hubo despido abusivo por parte de la empresa a la trabajadora. Sin embargo, ante la denuncia por acoso sexual, la Justicia falló a favor de Martínez y dispuso que el canal debe pagar la suma de US$ 15.724 a la comunicadora. En principio, la demanda al canal fue por US$ 400.000.","2024-12-03"
